URL,Title,Address
https://newyork.craigslist.org/brk/egr/d/licensed-home-inspector-needed-fast/7067448082.html,Licensed Home Inspector Needed - Fast Growing Co.,"Brooklyn, NY"
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7066783485.html,Facade / Building Envelope Architect or Engineer,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7066782655.html,Facade / Building Envelope Project Manager,TriBeCa
https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-mechanical-engineers/7066745989.html,ELECTRICAL/MECHANICAL ENGINEERS,Midtown
https://newyork.craigslist.org/brk/egr/d/brooklyn-part-time-product-engineering/7066721249.html,PART TIME  PRODUCT ENGINEERING & DEVELOP'T  POSITION,Brooklyn
https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/7066600316.html,Junior Architectural Designer,Midtown
https://newyork.craigslist.org/lgi/egr/d/huntington-expert-revit-architectural/7066216876.html,Expert Revit Architectural Drafter - Multiple Positions Available,Huntington
https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-sustainable/7066129358.html,Junior Architect | Sustainable Projects,Downtown
https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7065892232.html,Top Architectural Metal  + Glass Company looking for drafter/engineer!,Woodside
https://newyork.craigslist.org/que/egr/d/astoria-construction-inspectors/7065482681.html,Construction Inspectors,Astoria
https://newyork.craigslist.org/que/egr/d/astoria-civil-mechanical-field-engineers/7065437607.html,Civil & Mechanical Field Engineers,Astoria
https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/7065417527.html,Architect/Designer,New York
https://newyork.craigslist.org/que/egr/d/astoria-senior-field-engineer-civil/7065411334.html,Senior Field Engineer (Civil & Mechanical),Astoria
https://newyork.craigslist.org/wch/egr/d/pelham-construction-project-manager/7065400884.html,Construction Project Manager,Pelham NY
https://newyork.craigslist.org/que/egr/d/new-york-entry-mechanical-and/7065326758.html,Entry Mechanical and Electrical Engineers,New York
https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-engineering/7065203218.html,Mechanical Engineering Internship,Sunset Park
https://newyork.craigslist.org/mnh/egr/d/new-york-general-superintendent-for/7064841613.html,General Superintendent for Restaurant Construction Projects,"Manhattan, NY"
https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-for-general/7064835554.html,Estimator for General Contracting Company (Midtown West),Midtown West
https://newyork.craigslist.org/mnh/egr/d/new-york-lead-carpenter-foreman/7064831692.html,Lead Carpenter/ Foreman,New York City
https://newyork.craigslist.org/que/egr/d/electrical-estimator/7064829261.html,Electrical estimator,Long Island City
