Title,URL,Address,Compensation,Employment Type,Description
Licensed Home Inspector Needed - Fast Growing Co.,https://newyork.craigslist.org/brk/egr/d/licensed-home-inspector-needed-fast/7067448082.html,"Brooklyn, NY",,,
Facade / Building Envelope Architect or Engineer,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-architect-or/7066783485.html,TriBeCa,,,
Facade / Building Envelope Project Manager,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project-manager/7066782655.html,TriBeCa,,,
ELECTRICAL/MECHANICAL ENGINEERS,https://newyork.craigslist.org/mnh/egr/d/new-york-electrical-mechanical-engineers/7066745989.html,Midtown,,,
PART TIME  PRODUCT ENGINEERING & DEVELOP'T  POSITION,https://newyork.craigslist.org/brk/egr/d/brooklyn-part-time-product-engineering/7066721249.html,Brooklyn,,,
Junior Architectural Designer,https://newyork.craigslist.org/mnh/egr/d/junior-architectural-designer/7066600316.html,Midtown,,,
Expert Revit Architectural Drafter - Multiple Positions Available,https://newyork.craigslist.org/lgi/egr/d/huntington-expert-revit-architectural/7066216876.html,Huntington,,,
Junior Architect | Sustainable Projects,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-architect-sustainable/7066129358.html,Downtown,,,
Top Architectural Metal  + Glass Company looking for drafter/engineer!,https://newyork.craigslist.org/que/egr/d/woodside-top-architectural-metal-glass/7065892232.html,Woodside,,,
Construction Inspectors,https://newyork.craigslist.org/que/egr/d/astoria-construction-inspectors/7065482681.html,Astoria,,,
Civil & Mechanical Field Engineers,https://newyork.craigslist.org/que/egr/d/astoria-civil-mechanical-field-engineers/7065437607.html,Astoria,,,
Architect/Designer,https://newyork.craigslist.org/mnh/egr/d/new-york-city-architect-designer/7065417527.html,New York,,,
Senior Field Engineer (Civil & Mechanical),https://newyork.craigslist.org/que/egr/d/astoria-senior-field-engineer-civil/7065411334.html,Astoria,,,
Construction Project Manager,https://newyork.craigslist.org/wch/egr/d/pelham-construction-project-manager/7065400884.html,Pelham NY,,,
Entry Mechanical and Electrical Engineers,https://newyork.craigslist.org/que/egr/d/new-york-entry-mechanical-and/7065326758.html,New York,,,
Mechanical Engineering Internship,https://newyork.craigslist.org/brk/egr/d/brooklyn-mechanical-engineering/7065203218.html,Sunset Park,,,
General Superintendent for Restaurant Construction Projects,https://newyork.craigslist.org/mnh/egr/d/new-york-general-superintendent-for/7064841613.html,"Manhattan, NY",,,
Estimator for General Contracting Company (Midtown West),https://newyork.craigslist.org/mnh/egr/d/new-york-city-estimator-for-general/7064835554.html,Midtown West,,,
Lead Carpenter/ Foreman,https://newyork.craigslist.org/mnh/egr/d/new-york-lead-carpenter-foreman/7064831692.html,New York City,,,
Electrical estimator,https://newyork.craigslist.org/que/egr/d/electrical-estimator/7064829261.html,Long Island City,,,
Licensed Marine Beachfront Engineer,https://newyork.craigslist.org/brk/egr/d/brooklyn-licensed-marine-beachfront/7064809954.html,"Brooklyn, NY",,,
Senior Architect PM-Residential New Construction Experience Required,https://newyork.craigslist.org/brk/egr/d/brooklyn-senior-architect-pm/7064787362.html,Brooklyn,,,
ARCHITECTURAL DESIGNER / DRAFTS PERSON,https://newyork.craigslist.org/que/egr/d/architectural-designer-drafts-person/7064768323.html,NEW YORK,,,
Concrete Special Inspector-Full Time or Part Time,https://newyork.craigslist.org/que/egr/d/woodside-concrete-special-inspector/7064764136.html,,,,
Architectural Intern / Administrative assistant,https://newyork.craigslist.org/brk/egr/d/architectural-intern-administrative/7064757706.html,Brooklyn,,,
Structural Engineer,https://newyork.craigslist.org/que/egr/d/flushing-structural-engineer/7064754105.html,,,,
Assistant Director of Construction Needed,https://newyork.craigslist.org/mnh/egr/d/brooklyn-assistant-director-of/7064740727.html,Financial District,,,
HVAC ESTIMATOR,https://newyork.craigslist.org/brk/egr/d/brooklyn-hvac-estimator/7064626094.html,Brooklyn,,,
Special Inspector (Concrete),https://newyork.craigslist.org/brk/egr/d/brooklyn-special-inspector-concrete/7064618289.html,,,,
Energy Engineer,https://newyork.craigslist.org/lgi/egr/d/brightwaters-energy-engineer/7064595410.html,"Bay Shore, NY",,,
Project Manager - Architectural Office,https://newyork.craigslist.org/brk/egr/d/brooklyn-project-manager-architectural/7064421566.html,BROOKLYN,,,
"mechanical, plumbing engineer",https://newyork.craigslist.org/brk/egr/d/mechanical-plumbing-engineer/7064419203.html,"Brooklyn, NY",,,
Project Manager for Union Contractor,https://newyork.craigslist.org/que/egr/d/woodside-project-manager-for-union/7064247236.html,Queens,,,
JUNIOR INTERIOR ARCHITECT/DESIGNER,https://newyork.craigslist.org/mnh/egr/d/new-york-junior-interior-architect/7064044880.html,Financial District,,,
CAD Operator / Designer,https://newyork.craigslist.org/wch/egr/d/new-rochelle-cad-operator-designer/7063886781.html,"New Rochelle, NY",,,
Architect/draftsperson,https://newyork.craigslist.org/brk/egr/d/architect-draftsperson/7063552794.html,Midwood,,,
JUNIOR PROJECT ARCHITECT,https://newyork.craigslist.org/mnh/egr/d/new-york-city-junior-project-architect/7062063087.html,Chelsea,,,
Plumbing - Mechanical Project Manager,https://newyork.craigslist.org/que/egr/d/flushing-plumbing-mechanical-project/7062007226.html,Flushing & Manhattan,,,
Entry Level Electrical Engineering,https://newyork.craigslist.org/mnh/egr/d/new-york-city-entry-level-electrical/7061801841.html,Midtown,,,
Architectural Designer/Drafts Person,https://newyork.craigslist.org/wch/egr/d/white-plains-architectural-designer/7061736872.html,"White Plains, NY",,,
Architectural Designer,https://newyork.craigslist.org/brk/egr/d/brooklyn-architectural-designer/7061525634.html,Brooklyn,,,
Architectural Senior Drafter/Job Captain,https://newyork.craigslist.org/mnh/egr/d/new-york-architectural-senior-drafter/7061419406.html,Midtown West,,,
HVAC Design Engineer with 5 Years Design Experience in US,https://newyork.craigslist.org/mnh/egr/d/new-york-hvac-design-engineer-with-5/7061199900.html,Midtown,,,
Senior Project Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-senior-project-manager/7061182401.html,Upper East Side,,,
"Construction PM's, Supers, & Estimators needed....NYC",https://newyork.craigslist.org/mnh/egr/d/new-york-construction-pms-supers/7061126782.html,New York,,,
Architect Administrator,https://newyork.craigslist.org/mnh/egr/d/new-york-architect-administrator/7061101880.html,Midtown,,,
Cad Drafter - Architectural/Engineering background,https://newyork.craigslist.org/mnh/egr/d/cad-drafter-architectural-engineering/7060999419.html,TriBeCa,,,
Estimator,https://newyork.craigslist.org/que/egr/d/estimator/7060542538.html,Long Island City,,,
"Draftsman, Assistant Project Manager",https://newyork.craigslist.org/que/egr/d/draftsman-assistant-project-manager/7060540255.html,Long Island City,,,
Project Manager,https://newyork.craigslist.org/que/egr/d/project-manager/7060539697.html,Long Island City,,,
Project Architect,https://newyork.craigslist.org/mnh/egr/d/new-york-project-architect/7060234870.html,Gramercy,,,
Entry-Level Junior Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-entry-level-junior-estimator/7060229417.html,Upper East Side,,,
Concrete Safety Manager,https://newyork.craigslist.org/mnh/egr/d/new-york-concrete-safety-manager/7059780845.html,Manhattan,,,
Assistant Estimator,https://newyork.craigslist.org/mnh/egr/d/new-york-assistant-estimator/7059770895.html,Manhattan,,,
Surveyor layout,https://newyork.craigslist.org/mnh/egr/d/new-york-surveyor-layout/7059769762.html,Manhattan,,,
Revit Operator - Part or Full Time,https://newyork.craigslist.org/mnh/egr/d/new-york-revit-operator-part-or-full/7059720832.html,SoHo,,,
